gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,1,1,0,1.1643896396487294,1,1,0,0,0,0,0,0,0,-1.322910085587596,-0.3448102578430522,0,False,False,True,False,False,True,True,False,False,False
0,0,0,0,-0.5468567339563023,1,1,0,0,0,0,0,0,0,-1.3328822185984677,-0.8018363529404627,0,False,False,True,True,False,False,True,False,False,False
1,0,1,0,-0.791320501614164,1,1,0,0,1,0,1,1,1,1.2449141647118924,-0.4077897684861213,1,False,True,False,True,False,False,False,True,False,False
1,0,1,0,0.1865345690172827,1,1,1,0,0,0,0,0,1,-0.3240347623319375,-0.1114220888049885,0,True,False,False,True,False,False,False,False,False,True
0,0,0,0,-1.076528230548336,0,0,1,0,0,0,0,0,0,-1.1749901125929976,-0.9361338173169972,0,True,False,False,True,False,False,True,False,False,False
1,0,1,0,-1.1987601143772668,0,0,0,1,0,0,0,0,0,-1.1633559574136474,-0.9657154368519728,0,True,False,False,True,False,False,False,True,False,False
1,1,1,1,0.797693988161937,1,1,0,1,1,0,1,1,1,0.5335686766030371,0.7924827896925255,0,True,False,False,False,True,False,False,False,True,False
0,1,0,0,-0.7098325790615434,1,0,0,0,0,0,1,1,1,0.8875793984889861,-0.3895687261774786,0,False,True,False,True,False,False,False,False,True,False
0,0,0,0,-0.2616490050221303,1,1,1,1,0,0,1,0,1,0.1562896443583875,-0.2132040370036299,0,True,False,False,True,False,False,True,False,False,False
1,0,1,0,1.368109446030281,1,1,1,1,0,1,1,1,0,0.679826627429157,1.436087063780857,0,True,False,False,False,False,True,False,False,True,False
1,0,0,0,-1.1580161531009563,1,0,0,0,1,0,0,1,0,0.706418982124815,-0.8714336755600366,0,False,True,False,True,False,False,False,False,True,False
1,0,1,0,-0.9950403079957154,1,0,1,0,0,0,0,0,0,0.3391120828910372,-0.728113927522201,1,False,True,False,True,False,False,False,False,True,False
1,0,0,0,0.6347181430566958,1,0,0,0,0,0,0,0,0,-1.4841262359300234,-0.5736983147370928,0,False,False,True,False,False,True,False,True,False,False
0,0,0,1,-0.9135523854430948,1,1,1,0,1,1,0,1,0,0.2909134400051568,-0.7014882640033974,0,True,False,False,False,True,False,False,True,False,False
0,0,0,0,1.2866215234776603,1,1,1,1,1,1,1,1,1,1.672053862010901,2.2283273948614823,0,False,True,False,False,False,True,True,False,False,False
1,0,0,0,-0.4246248501273714,1,0,0,1,0,0,1,1,1,0.9440881522172598,-0.0555898150965442,0,False,True,False,True,False,False,False,False,False,True
1,1,0,0,-1.2802480369298874,1,1,0,0,0,0,1,1,1,0.95572230739661,-0.966090446197308,1,False,True,False,True,False,False,False,False,True,False
1,0,0,0,1.4088534073065913,1,0,0,0,0,1,0,0,0,-0.4736167574950145,0.4309517214160768,0,True,False,False,False,False,True,True,False,False,False
